Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84,Column85,Column86,Column87,Column88,Column89,Column90,Column91,Column92,Column93,Column94,Column95,Column96,Column97,Column98,Column99,Column100,Column101,Column102,Column103,Column104,Column105,Column106,Column107,Column108,Column109,Column110,Column111,Column112,Column113,Column114,Column115,Column116,Column117,Column118,Column119,Column120,Column121,Column122,Column123,Column124,Column125,Column126,Column127,Column128,Column129,Column130,Column131,Column132,Column133,Column134,Column135,Column136,Column137,Column138,Column139,Column140,Column141,Column142,Column143,Column144,Column145,Column146,Column147,Column148,Column149,Column150,Column151,Column152,Column153,Column154,Column155,Column156,Column157,Column158,Column159
Console apps,,,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,,,,Vue,,,AngularJS,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,,JavaScript,,,,,,,SQL,C#,,,,JavaScript,,,,,,,SQL,,,,TypeScript,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,Newtonsoft.Json  EntityFramework,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Agree,2,3,4,6,5,1,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $50,000 and $74,999",Nov-50,10-Feb,5 to 9 years,,,,,,"Developer, backend","Developer, devices",,,"Developer, fullstack",,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,Microservices,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,UWP,WinUI,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,ASP.NET SignalR,,ASP.NET Razor Pages,Xamarin,,,Windows Presentation Foundation (WPF),Universal Windows Platform (UWP),,,,Angular,Blazor,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,C++,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,,,,,,,Rust,,,Amazon Web Services,,Microsoft Azure,,,,,,"EF Core, Microsoft.Extensions.Dependencyinjection, Microsoft.Extensions.Hosting,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,.NET Core 3.0,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,Angular,,,,,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,JavaScript,Java,,,,,,,C#,,,TypeScript,JavaScript,Java,,,,,,,,,,,,,,,,,Dart,,,,,,,,None,,,Extremely familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,Nuget and ASP.NET Core,more open source project in ML.NET and AI,Approve,Strongly agree,Strongly agree,1,2,4,3,5,6,,,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Asia,,"Under $15,000",10-Feb,10-Feb,15 to 19 years,,,,Database adminstrator,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,"Developer, mobile",,Educator,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,,ASP.NET Web API,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,,,,Angular,,React,,,,,Visual Studio,Visual Studio Code,,,,,Gitlab,C#,VB.NET,,TypeScript,JavaScript,,,,,,,,C#,VB.NET,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Agree,2,1,3,6,5,4,,,Consumer (downloads and uses),,,No,Yes,No,Yes,,Yes,,Male,,Europe,,"Between $100,000 and $150,000",10-Feb,10-Feb,15 to 19 years,,,,Database adminstrator,,,,,,"Developer, fullstack",,,,,,,,,,,
Console apps,Games,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,,,,,,,,Unity,Godot,,,,Vue,,,,,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,,Extremely familiar,Strongly approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Strongly agree,Strongly agree,4,3,1,2,6,5,,,Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,No,Company demands that all software used have a strong LTS or LTS like rules. We must use battle proven software that when needed is capable os selling support.,Male,,South America,,"Between $75,000 and $99,999","1,001-5000",Nov-50,5 to 9 years,,,,,,,,,,"Developer, fullstack","Developer, games",,,,Site engineer,,,,,,
,,Libraries,Microservices,,,Web apps,Web services / APIs,,,,.NET Framework 4.8,,.NET Core 2.1 LTS,,.NET Core 3.0,.NET Core 3.1 LTS,.NET 5,,,,,ASP.NET MVC,ASP.NET Web API,,,,,,,,,,,,,Angular,,React,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,Elixir,C#,,,TypeScript,JavaScript,,,,,,,Elixir,,,F#,,,,,,Go,Rust,Dart,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,OpenJS Foundation,.NET Foundation,,,,,Don't really know much about what they do. Guessing they're gate keepers to major changes in the core .NET systems?,,Approve,Agree,Agree,6,2,5,3,1,4,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,No,Yes,Yes,,Yes,,Male,,Europe,,"Between $75,000 and $99,999","1,001-5000",10-Feb,5 to 9 years,,,,Database adminstrator,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,Systems admin,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,,,,,,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,,,,,,,,,,,,,Vue,,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,Python,,,,,Amazon Web Services,,,,,,,,,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Libraries,Microservices,,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,,,,,,ASP.NET MVC,ASP.NET Web API,,,,ASP.NET Razor Pages,,,,,,,,,,,React,,,,,Visual Studio,,,,,,,C#,,,,,,,,,,,,C#,,,TypeScript,,,,Python,,,,,C#,,,,,,,Python,Go,,,,,,Microsoft Azure,,,,,,"Newton soft.json  Swashbuckler.aspnetcore, Serilog, Mapster, Autofac,microsoft.extensions.http.polly    ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,,,,,,,,,,,,,,,,.NET 5,,,,,,ASP.NET Web API,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,,,,Angular,,,,,,,,Visual Studio Code,,,,GitHub,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,,,,none,,Very familiar,Approve,,,,,,.NET Foundation,,,Exceeded expectations,Met expectations,net,,Approve,Agree,Agree,,,,,,,,,,,vnone,No,Yes,Yes,Yes,none,No,note,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,Mobile apps,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,.NET 5,Mono / Xamarin,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,ASP.NET Razor Pages,Xamarin,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,,React,Vue,,,,Visual Studio,Visual Studio Code,Visual Studio for Mac,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,F#,TypeScript,JavaScript,,,Python,,Rust,,,C#,,F#,TypeScript,JavaScript,,,Python,,Rust,,,,,,,,,,,,,,,Amazon Web Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,Microservices,,,Web apps,Web services / APIs,,,,.NET Framework 4.8,,.NET Core 2.1 LTS,.NET Core 2.2,.NET Core 3.0,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,ASP.NET Razor Pages,,,,,,,,,,,React,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,Python,Go,,,,,,,,,,,,,Rust,,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,"Brighter, Polly, AWS SDK (various), JustSaying",Extremely familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,"Trying to build the community of .NET developers, so as to increase the diversity of practitioners and the number of practitioners",Faster turnaround times,Disapprove,Agree,Disagree,3,2,1,4,5,6,Maintainer (leads an open source project),,,,,Yes,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Over $150,000","1,001-5000",1,15 to 19 years,,,,,,"Developer, backend",,,,,,,,,,,,,,,
,,,,Mobile apps,,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,Angular,,,,,,Ionic,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,,,,,,,,,C#,,,TypeScript,,,,,,,,,,,,,,,,Python,,,,,,,Microsoft Azure,,,,,,"Entity Framework, Web API, MVC",Somewhat familiar,Approve,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Strongly agree,Strongly agree,3,6,2,4,5,1,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Over $150,000",1,1,20 years or more,Business analyst,Data analyst,,Database adminstrator,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,"Developer, mobile","Developer, DevOps",,,,,,,,
Console apps,,Libraries,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,ASP.NET Blazor,,,,,,,,,,,,,,React,Vue,,,,Visual Studio,Visual Studio Code,,,,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,F#,TypeScript,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,ShopifySharp  Lots of packages by Ardalis  Episerver packages,Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,They are very open about the direction they are looking to take with .NET.,Better communication about why I (and other .NET devs) should care about the .NET Foundation.,Strongly approve,Strongly agree,Strongly agree,6,2,1,3,4,5,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Over $150,000",Nov-50,Nov-50,20 years or more,,,,,,"Developer, backend",,,,"Developer, fullstack",,,,,,,Marketing or sales professional,,,,
Console apps,,,Microservices,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,Windows Communication Foundation (WCF),,,Angular,,,,,,,Visual Studio,Visual Studio Code,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,,,,,Python,Go,,,,,,Microsoft Azure,,,,,,,Somewhat familiar,Strongly approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Exceeded expectations,Exceeded expectations,,,Strongly approve,Strongly agree,Strongly agree,,,,,,,,,Consumer (downloads and uses),,,No,Yes,Don't Know,Yes,,Yes,,Male,,North America,,"Between $75,000 and $99,999","1,001-5000",Nov-50,20 years or more,,,,,,,,,,,,,"Developer, DevOps",,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,.NET Framework 4.8,,,,.NET Core 3.0,,,,,,,ASP.NET MVC,ASP.NET Web API,,,ASP.NET WebForms,,,,Windows Forms (WinForms),,,Windows Communication Foundation (WCF),,,Angular,,,,None,,,Visual Studio,Visual Studio Code,,,JetBrains Rider,GitHub,,C#,,,,,,,,,,,,C#,,,,,,C++,Python,,,,,C#,,,TypeScript,,,C++,Python,,,,,,,Microsoft Azure,,,,,,"Json.NET, Serilog",Not so familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,"Open source support, community support","Communication, Vision, awereness",Approve,Agree,Agree,3,4,2,1,5,6,,,Consumer (downloads and uses),,,No,Yes,Yes,Don't know,,Don't Know,,Male,,Europe,,"Between $15,000 and $29,999","1,001-5000",10-Feb,1 to 4 years,,,,,,"Developer, backend",,,,,,,,,,,,,,,
,,,Microservices,,,Web apps,Web services / APIs,,,,,,.NET Core 2.1 LTS,,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,,,,,,,,,,,,Angular,,,,,,,,,,,JetBrains Rider,,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,Python,Go,,,,,,F#,,,,,,Go,Rust,,,Amazon Web Services,,Microsoft Azure,,,,,,Serilog ,Very familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),Eclipse Foundation,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,,,Strongly approve,Agree,Agree,6,3,5,4,2,1,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,Yes,,Male,,North America,,"Between $100,000 and $150,000","5,001-10,000",10-Feb,5 to 9 years,,,,,,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,,,,,,,,,
,,Libraries,,,Native desktop apps,,,Excel add-ins,,.NET Framework 4.0 – 4.7.2,,,,,,,.NET 5,,,,,,,,,,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,,,,,Not writing single-page apps,,Visual Studio,,,,,GitHub,,C#,VB.NET,,,,,,,,,,,C#,VB.NET,F#,,,,,,,,,,,,F#,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,"ExcelDna.AddIn, ExcelDna.Registration, Calibrun.Micro, HelixToolkit",Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,,,,.NET Foundation,,,Below expectations,Below expectations,There is an attempt to raise the profile of .NET generally.,Help outside .NET developers to interact with teams inside Microsoft.,Strongly approve,Neither agree nor disagree,Agree,2,3,1,4,6,5,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),Sponsor (financial support),,No,Yes,Don't Know,Yes,,Yes,,Male,,Africa,,"Between $75,000 and $99,999",51-200,10-Feb,15 to 19 years,Business analyst,,,,,,"Developer, devices",,,"Developer, fullstack",,,,,,,,,,,
,,,Microservices,,Native desktop apps,,Web services / APIs,,,,.NET Framework 4.8,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,,ASP.NET Web API,,,,,,,Windows Forms (WinForms),,,,,,,,,,,Not writing single-page apps,,Visual Studio,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,F#,,,,,,,,,,,,Microsoft Azure,,,,,,,Extremely familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,,,,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,Visual Studio for Mac,,,,bitbucket,C#,,,,JavaScript,,,,,,,CFML,C#,VB.NET,,,JavaScript,,,,,,,CFML,,,,TypeScript,,,,Python,,Rust,,,,,,,,,None,,Entity Framework (.NET Framework)  Dapper (.NET 5)  MailKit  MimeKit  jQuery  Bootstrap,Somewhat familiar,Approve,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,News,?,Approve,Agree,Agree,2,1,4,3,6,5,,,Consumer (downloads and uses),,,No,No,Don't Know,Yes,,Yes,,Male,,North America,,"Between $75,000 and $99,999",51-200,1,1 to 4 years,Business analyst,,,Database adminstrator,Designer,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,,,,,,,,Systems admin,
Console apps,,Libraries,Microservices,,Native desktop apps,Web apps,Web services / APIs,,,,,,,.NET Core 2.2,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,Windows Presentation Foundation (WPF),,,,,,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,,,,JavaScript,,,Python,,,,,C#,,,,JavaScript,,,Python,,,,,,,F#,,,,,,,,,,Amazon Web Services,,Microsoft Azure,,,,,,Serilog  Autofac  System.Reactive  Shouldly  Moq  System.Collections.Immutable,Not so familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Below expectations,Below expectations,The fact that it exists  ,Visibility. More recognition from Microsoft itself.  ,Strongly approve,Agree,Strongly agree,1,3,4,6,2,5,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,NA,Yes,NA  ,Prefer not to say,,Europe,,"Over $150,000","10,000+",Nov-50,15 to 19 years,,,,,,,,"Developer, enterprise",,"Developer, fullstack",,,,,,,,Product manager,,,
Console apps,,Libraries,,,,,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,,ASP.NET Web API,ASP.NET Blazor,,,,,,Windows Forms (WinForms),Windows Presentation Foundation (WPF),,,,,,Blazor,,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,,,C#,,,,,,,Python,,,,Visual Basic 6,C#,,,,,,,Python,,,,Visual Basic 6,,,,,,,C++,,Go,Rust,,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,Dapper,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Web apps,,,,.NET Framework 4.0 – 4.7.2,,,,,,.NET Core 3.1 LTS,,,,,Entity Framework,ASP.NET MVC,,,,,ASP.NET Razor Pages,,,,,,,,,,,,,,Not writing single-page apps,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),JetBrains Rider,,,C#,,,,JavaScript,,,,,,,,C#,,,,JavaScript,,,,,,,,,,F#,TypeScript,,,,,,,,,,,,,,,None,,,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,OpenJS Foundation,.NET Foundation,,,Met expectations,Met expectations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Console apps,,Libraries,,Mobile apps,Native desktop apps,Web apps,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,,Mono / Xamarin,,,,ASP.NET MVC,,ASP.NET Blazor,,,,,,,,,,,GtkSharp,,,,,,Not writing single-page apps,,,,,,JetBrains Rider,,MonoDevelop,C#,,,,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,Java,,,,,,,,,F#,,,,,Python,,,,,,,,,,,,Local,Linq2db,Somewhat familiar,Neither approve nor disapprove,Apache Foundation,,Eclipse Foundation,Linux Foundation,,.NET Foundation,,,Below expectations,Below expectations,,"Advodcate Linux support  True open source support, EG open proprietary code like dotnet Debugger or  monodevelop  ",Strongly approve,Disagree,Strongly agree,3,1,6,2,4,5,Maintainer (leads an open source project),"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,Yes,,Prefer not to say,,Europe,,"Between $75,000 and $99,999","10,000+",10-Feb,15 to 19 years,,,,,,,,,,"Developer, fullstack",,,,Educator,,,,,,,
,,,,,Native desktop apps,,Web services / APIs,,,.NET Framework 4.0 – 4.7.2,,,,,,,,,,,,ASP.NET MVC,,,,,,,,Windows Forms (WinForms),,,,,,,,,,None,,,Visual Studio,,,,,,,C#,,,,,,,,,,,,C#,,,,,,,,,,,,,,,,JavaScript,,,,,,,,,,,,,,None,,Polly MediatR,Somewhat familiar,Approve,Apache Foundation,,,,,.NET Foundation,,,Met expectations,Met expectations,Centralisation,Information on projects,Approve,Agree,Agree,1,3,2,4,5,6,,,Consumer (downloads and uses),,,No,No,No,Yes,,Yes,,Male,,Europe,,"Between $50,000 and $74,999",Nov-50,10-Feb,20 years or more,,,,,,"Developer, backend",,"Developer, enterprise","Developer, frontend","Developer, fullstack",,,,,,,,,,,
Console apps,,Libraries,Microservices,,Native desktop apps,,Web services / APIs,,,,,,,,,.NET Core 3.1 LTS,.NET 5,,,,,ASP.NET MVC,ASP.NET Web API,,ASP.NET SignalR,,,,,,Windows Presentation Foundation (WPF),,,,,,,,,,Not writing single-page apps,,Visual Studio,,,.NET Command Line Interface (CLI),JetBrains Rider,GitHub,,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,Java,,,Go,,,,C#,,,TypeScript,,,,,,,,Kotlin,,,,,,,None,,"NUnit, NUnit3TestAdapter, Microsoft.NET.Test.Sdk, Microsoft.Extensions.Configuration.*, NetEscapades.Configuration.Yaml, NLog.*, Microsoft.Extensions.DependencyInjection, Nito.AsyncEx.*",Somewhat familiar,Neither approve nor disapprove,,,,,,.NET Foundation,,,,,,Explain more to the public what .NET Foundation actually is.    Also explain more how the projects became/can become listed/delisted in the .NET foundation. Does .NET foundation actually delist projects? Some projects seem kinda abandoned/idle/dead/inactive/outdated.,Neither approve nor disapprove,Neither agree nor disagree,Agree,1,,,,,,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,Yes,Yes,Yes,Yes,,Yes,,Male,,Asia,,Prefer not to say,51-200,10-Feb,Less than 6 months,,,,,,"Developer, backend",,"Developer, enterprise",,"Developer, fullstack",,,"Developer, DevOps",,,Researcher,,,,,
Console apps,,Libraries,Microservices,,,,Web services / APIs,,,,,,,.NET Core 2.2,,.NET Core 3.1 LTS,.NET 5,,,,Entity Framework,,ASP.NET Web API,,,,,,,,,,,,,,,React,,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,SourceTree,C#,,,TypeScript,JavaScript,,,,,,,,C#,,,TypeScript,JavaScript,,,,,,,,,,,,,,,,Go,,Dart,,Amazon Web Services,Google Cloud Platform,Microsoft Azure,,,,,,"Xunit, automapper, moq",Somewhat familiar,Approve,Apache Foundation,Cloud Native Computing Foundation (CNCF),,Linux Foundation,,.NET Foundation,,,Exceeded expectations,Met expectations,The foundation gives visibility to projects that some considers as part of the bedrock of the community. ,,Strongly approve,Agree,Strongly agree,1,6,3,4,2,5,,"Contributor (contributes code, logs issues, etc.)",Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Europe,,"Between $50,000 and $74,999",Nov-50,10-Feb,5 to 9 years,,,,,,"Developer, backend",,,"Developer, frontend","Developer, fullstack",,,"Developer, DevOps",,,,,,,,
,Games,,,,Native desktop apps,Web apps,,,,,,,,,,.NET Core 3.1 LTS,,,UWP,,Entity Framework,,,,,,,,ML.NET,,,Universal Windows Platform (UWP),,Unity,,,,,Vue,,,,Visual Studio,Visual Studio Code,,.NET Command Line Interface (CLI),,GitHub,,C#,,,,JavaScript,,,Python,,,,,C#,,,,JavaScript,,,Python,,,,,,,,TypeScript,,,,,,,,,,,Microsoft Azure,,,,,,,Somewhat familiar,Approve,Apache Foundation,,,Linux Foundation,,.NET Foundation,,,Met expectations,Met expectations,,,Approve,Agree,Strongly agree,3,1,5,2,6,4,Maintainer (leads an open source project),,Consumer (downloads and uses),,,No,Yes,Yes,Yes,,Yes,,Male,,Asia,,"Between $100,000 and $150,000","10,000+",10-Feb,5 to 9 years,,,Data scientist,,,,,,,"Developer, fullstack","Developer, games",,,,,Researcher,,,,,
